"longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity","log_total_rooms","log_total_bedrooms","log_population","log_households","value_range","cluster"
-122.28,37.83,52,1511,390,901,403,1.4103,103900,"NEAR BAY",7.32052696227274,5.96614673912369,6.80350525760834,5.99893656194668,"[0.6,1.1)","area_0"
-122.26,37.83,52,1470,330,689,309,3.48,191400,"NEAR BAY",7.29301767977278,5.79909265446053,6.53524127101366,5.73334127689775,"[1.6,2.1)","area_0"
-122.26,37.83,52,1665,419,946,395,2.0978,155400,"NEAR BAY",7.41758040241454,6.03787091992214,6.85224256905188,5.97888576490112,"[1.6,2.1)","area_0"
-122.26,37.83,51,936,311,517,249,1.2852,150000,"NEAR BAY",6.84161547647759,5.73979291217923,6.24804287450843,5.51745289646471,"[1.1,1.6)","area_0"
-122.26,37.84,49,713,202,462,189,1.025,118800,"NEAR BAY",6.5694814204143,5.30826769740121,6.13556489108174,5.24174701505964,"[1.1,1.6)","area_0"
-122.26,37.84,52,950,202,467,198,3.9643,188800,"NEAR BAY",6.85646198459459,5.30826769740121,6.1463292576689,5.28826703069454,"[1.6,2.1)","area_0"
-122.26,37.83,52,1443,311,660,292,3.0125,184400,"NEAR BAY",7.27447955877387,5.73979291217923,6.49223983502047,5.67675380226828,"[1.6,2.1)","area_0"
-122.26,37.83,52,1656,420,718,382,2.6768,182300,"NEAR BAY",7.4121603349452,6.04025471127741,6.57646956904822,5.94542060860658,"[1.6,2.1)","area_0"
-122.26,37.83,50,1125,322,616,304,2.026,142500,"NEAR BAY",7.02553831463852,5.77455154554441,6.42324696353352,5.71702770140622,"[1.1,1.6)","area_0"
-122.27,37.82,43,1007,312,558,253,1.7348,137500,"NEAR BAY",6.91473089271856,5.74300318780948,6.32435896238131,5.53338948872752,"[1.1,1.6)","area_0"
-122.26,37.82,40,624,195,423,160,0.9506,187500,"NEAR BAY",6.43615036836943,5.27299955856375,6.04737217904628,5.07517381523383,"[1.6,2.1)","area_0"
-122.27,37.82,40,946,375,700,352,1.775,112500,"NEAR BAY",6.85224256905188,5.92692602597041,6.5510803350434,5.8636311755981,"[1.1,1.6)","area_0"
-122.27,37.82,21,896,453,735,438,0.9218,171900,"NEAR BAY",6.79794041297493,6.11589212548303,6.59987049921284,6.08221891037645,"[1.6,2.1)","area_0"
-122.27,37.82,43,1868,456,1061,407,1.5045,93800,"NEAR BAY",7.53262361878879,6.12249280951439,6.96696713861398,6.00881318544259,"[0.6,1.1)","area_0"
-122.27,37.82,41,3221,853,1959,720,1.1108,97500,"NEAR BAY",8.0774471493312,6.74875954749168,7.58018941794454,6.5792512120101,"[0.6,1.1)","area_0"
-122.27,37.82,52,1630,456,1162,400,1.2475,104200,"NEAR BAY",7.39633529380081,6.12249280951439,7.05789793741186,5.99146454710798,"[0.6,1.1)","area_0"
-122.28,37.82,52,1170,235,701,233,1.6098,87500,"NEAR BAY",7.0647590277918,5.45958551414416,6.55250788703459,5.4510384535657,"[0.6,1.1)","area_0"
-122.28,37.82,52,945,243,576,220,1.4113,83100,"NEAR BAY",6.85118492749374,5.49306144334055,6.35610766069589,5.39362754635236,"[0.6,1.1)","area_0"
-122.28,37.82,52,1238,288,622,259,1.5057,87500,"NEAR BAY",7.12125245324454,5.66296048013595,6.43294009273918,5.55682806169954,"[0.6,1.1)","area_0"
-122.28,37.82,52,1489,335,728,244,0.8172,85300,"NEAR BAY",7.30586003268401,5.81413053182507,6.59030104819669,5.4971682252932,"[0.6,1.1)","area_0"
-122.28,37.82,52,1387,341,1074,304,1.2171,80300,"NEAR BAY",7.23489842031483,5.83188247728352,6.97914527506881,5.71702770140622,"[0.6,1.1)","area_0"
-122.29,37.82,2,158,43,94,57,2.5625,60000,"NEAR BAY",5.06259503302697,3.76120011569356,4.54329478227,4.04305126783455,"[0.6,1.1)","area_0"
-122.29,37.83,52,1121,211,554,187,3.3929,75700,"NEAR BAY",7.02197642307216,5.35185813347607,6.31716468674728,5.23110861685459,"[0.6,1.1)","area_0"
-122.3,37.81,48,828,182,392,133,2.5938,73500,"NEAR BAY",6.71901315438526,5.2040066870768,5.97126183979046,4.89034912822175,"[0.6,1.1)","area_0"
-122.3,37.81,52,1010,209,604,187,1.1667,78400,"NEAR BAY",6.9177056098353,5.34233425196481,6.40357419793482,5.23110861685459,"[0.6,1.1)","area_0"
-122.3,37.81,48,1455,354,788,332,0.8056,84400,"NEAR BAY",7.28276117960559,5.86929691313377,6.66949808985788,5.80513496891649,"[0.6,1.1)","area_0"
-122.29,37.8,52,1027,244,492,147,2.6094,81300,"NEAR BAY",6.93439720992856,5.4971682252932,6.19847871649231,4.99043258677874,"[0.6,1.1)","area_0"
-122.3,37.81,52,572,109,274,82,1.8516,85000,"NEAR BAY",6.3491389913798,4.69134788222914,5.61312810638807,4.40671924726425,"[0.6,1.1)","area_0"
-122.29,37.81,46,2801,644,1823,611,0.9802,129200,"NEAR BAY",7.93773177526011,6.46769872610435,7.50823877467866,6.4150969591716,"[1.1,1.6)","area_0"
-122.29,37.81,26,768,152,392,127,1.7719,82500,"NEAR BAY",6.64378973314767,5.02388052084628,5.97126183979046,4.84418708645859,"[0.6,1.1)","area_0"
-122.29,37.81,49,844,204,560,152,1.75,75000,"NEAR BAY",6.73815249459596,5.31811999384422,6.32793678372919,5.02388052084628,"[0.6,1.1)","area_0"
-122.29,37.81,46,12,4,18,7,0.4999,67500,"NEAR BAY",2.484906649788,1.38629436111989,2.89037175789616,1.94591014905531,"[0.6,1.1)","area_0"
-122.29,37.81,20,835,161,290,133,2.483,137500,"NEAR BAY",6.72743172485086,5.08140436498446,5.66988092298052,4.89034912822175,"[1.1,1.6)","area_0"
-122.28,37.81,36,2914,562,1236,509,2.4464,102100,"NEAR BAY",7.97728198675515,6.33150184989369,7.11963563801764,6.23244801655052,"[0.6,1.1)","area_0"
-122.28,37.81,19,1207,243,721,207,1.1111,108300,"NEAR BAY",7.09589322109753,5.49306144334055,6.58063913728495,5.33271879326537,"[1.1,1.6)","area_0"
-122.29,37.81,23,1745,374,1054,325,0.8026,112500,"NEAR BAY",7.46450983463653,5.92425579741453,6.96034772910131,5.78382518232974,"[1.1,1.6)","area_0"
-122.28,37.81,17,924,289,609,289,1.5,162500,"NEAR BAY",6.82871207164168,5.66642668811243,6.4118182677099,5.66642668811243,"[1.6,2.1)","area_0"
-122.28,37.81,52,340,97,200,87,1.5208,112500,"NEAR BAY",5.82894561761021,4.57471097850338,5.29831736654804,4.46590811865458,"[1.1,1.6)","area_0"
-122.28,37.81,52,386,164,346,155,0.8075,137500,"NEAR BAY",5.95583736946483,5.0998664278242,5.84643877505772,5.04342511691925,"[1.1,1.6)","area_0"
-122.27,37.81,10,875,348,546,330,0.76,162500,"NEAR BAY",6.77422388635761,5.85220247977447,6.30261897574491,5.79909265446053,"[1.6,2.1)","area_0"
-122.27,37.8,10,105,42,125,39,0.9722,137500,"NEAR BAY",4.65396035015752,3.73766961828337,4.8283137373023,3.66356164612965,"[1.1,1.6)","area_0"
-122.28,37.8,52,215,87,904,88,0.8668,137500,"NEAR BAY",5.37063802812766,4.46590811865458,6.80682936039218,4.47733681447821,"[1.1,1.6)","area_0"
-122.28,37.8,52,96,31,191,34,0.75,162500,"NEAR BAY",4.56434819146784,3.43398720448515,5.25227342804663,3.52636052461616,"[1.6,2.1)","area_0"
-122.27,37.79,27,1055,347,718,302,2.6354,187500,"NEAR BAY",6.96129604591017,5.84932477994686,6.57646956904822,5.71042701737487,"[1.6,2.1)","area_0"
-122.27,37.8,39,1715,623,1327,467,1.8477,179200,"NEAR BAY",7.44716835960004,6.43454651878745,7.19067603433221,6.1463292576689,"[1.6,2.1)","area_0"
-122.26,37.8,36,5329,2477,3469,2323,2.0096,130000,"NEAR BAY",8.58091888229678,7.81480342948936,8.15162164696975,7.75061473277041,"[1.1,1.6)","area_0"
-122.26,37.82,31,4596,1331,2048,1180,2.8345,183800,"NEAR BAY",8.43294163896865,7.19368581839511,7.6246189861594,7.07326971745971,"[1.6,2.1)","area_0"
-122.26,37.81,29,335,107,202,91,2.0062,125000,"NEAR BAY",5.81413053182507,4.67282883446191,5.30826769740121,4.51085950651685,"[1.1,1.6)","area_0"
-122.26,37.82,22,3682,1270,2024,1250,1.2185,170000,"NEAR BAY",8.21121136179302,7.14677217945264,7.61283103040736,7.13089883029635,"[1.6,2.1)","area_0"
-122.25,37.81,29,4656,1414,2304,1250,2.4912,257800,"NEAR BAY",8.44591198941127,7.25417784645652,7.74240202181578,7.13089883029635,"[2.6,3.1)","area_0"
-122.25,37.81,52,2155,701,895,613,2.5795,350000,"NEAR BAY",7.67554600253785,6.55250788703459,6.79682371827486,6.41836493593621,"[3.1,3.6)","area_0"
-122.24,37.82,52,1509,225,674,244,4.9306,313400,"NEAR BAY",7.31920245876785,5.41610040220442,6.51323011091231,5.4971682252932,"[3.1,3.6)","area_0"
-122.24,37.81,52,2026,482,709,456,3.2727,268500,"NEAR BAY",7.61381868480863,6.1779441140506,6.56385552653213,6.12249280951439,"[2.6,3.1)","area_0"
-122.25,37.81,52,1758,460,686,422,3.1691,259400,"NEAR BAY",7.47193207824512,6.13122648948314,6.53087762772588,6.04500531403601,"[2.6,3.1)","area_0"
-122.24,37.82,52,3481,751,1444,718,3.9,275700,"NEAR BAY",8.15507488781144,6.62140565176413,7.27517231945277,6.57646956904822,"[2.6,3.1)","area_0"
-122.25,37.82,28,3337,855,1520,802,3.9063,225000,"NEAR BAY",8.11282747875137,6.75110146893676,7.32646561384032,6.68710860786651,"[2.1,2.6)","area_0"
-122.25,37.82,26,3959,1196,1749,1217,3.0233,255000,"NEAR BAY",8.28374674710613,7.08673793451058,7.4667994750186,7.10414409298753,"[2.1,2.6)","area_0"
-122.25,37.83,52,2376,559,939,519,3.1484,224100,"NEAR BAY",7.77317368048254,6.3261494731551,6.84481547920826,6.25190388316589,"[2.1,2.6)","area_0"
-122.25,37.83,35,1613,428,675,422,3.4722,243100,"NEAR BAY",7.38585107812521,6.0591231955818,6.51471269087253,6.04500531403601,"[2.1,2.6)","area_0"
-122.25,37.83,52,1279,287,534,291,3.1429,231600,"NEAR BAY",7.15383380157884,5.65948221575962,6.2803958389602,5.67332326717149,"[2.1,2.6)","area_0"
-122.25,37.83,52,4190,1105,1786,1037,3.0897,234100,"NEAR BAY",8.34045601291618,7.00760061395185,7.48773376143644,6.94408720822953,"[2.1,2.6)","area_0"
-122.23,37.84,50,2515,399,970,373,5.8596,327600,"NEAR BAY",7.83002808253384,5.98896141688986,6.87729607149743,5.92157841964382,"[3.1,3.6)","area_0"
-122.23,37.84,47,3175,454,1098,485,5.2868,347600,"NEAR BAY",8.06306291132679,6.11809719804135,7.00124562206948,6.18414889093748,"[3.1,3.6)","area_0"
-122.24,37.85,52,2612,365,901,367,7.2354,391100,"NEAR BAY",7.86787149039632,5.89989735358249,6.80350525760834,5.90536184805457,"[3.6,4.1)","area_0"
-122.21,37.84,44,3424,597,1358,597,6.0194,292300,"NEAR BAY",8.13856473726163,6.3919171133926,7.21376830811864,6.3919171133926,"[2.6,3.1)","area_0"
-122.21,37.83,34,5065,788,1627,766,6.8976,333300,"NEAR BAY",8.53010941668278,6.66949808985788,7.39449310721904,6.64118216974059,"[3.1,3.6)","area_0"
-122.19,37.83,28,1326,184,463,190,8.2049,335200,"NEAR BAY",7.18992217074581,5.21493575760899,6.13772705408623,5.24702407216049,"[3.1,3.6)","area_0"
-122.2,37.83,26,1589,223,542,211,8.401,351200,"NEAR BAY",7.37086016653672,5.40717177146012,6.29526600143965,5.35185813347607,"[3.1,3.6)","area_0"
-122.19,37.82,32,1835,264,635,263,8.317,365900,"NEAR BAY",7.51479976048867,5.57594910314632,6.45362499889269,5.57215403217776,"[3.6,4.1)","area_0"
-122.2,37.82,37,1229,181,420,176,7.0175,366700,"NEAR BAY",7.11395610956603,5.19849703126583,6.04025471127741,5.17048399503815,"[3.6,4.1)","area_0"
-122.2,37.82,39,3770,534,1265,500,6.3302,362800,"NEAR BAY",8.23483028044206,6.2803958389602,7.14282740116162,6.21460809842219,"[3.6,4.1)","area_0"
-122.21,37.82,52,2375,333,813,350,7.0549,331400,"NEAR BAY",7.77275271646874,5.80814248998044,6.70073110954781,5.85793315448346,"[3.1,3.6)","area_0"
-122.2,37.81,45,2964,436,1067,426,6.7851,323500,"NEAR BAY",7.99429498641598,6.07764224334903,6.97260625130175,6.05443934626937,"[3.1,3.6)","area_0"
-122.21,37.8,50,2833,605,1260,552,2.8929,216700,"NEAR BAY",7.94909149983052,6.40522845803084,7.13886699994552,6.31354804627709,"[2.1,2.6)","area_0"
-122.21,37.8,38,2254,535,951,487,3.0812,233100,"NEAR BAY",7.72046169459972,6.28226674689601,6.85751406254539,6.18826412308259,"[2.1,2.6)","area_0"
-122.21,37.81,52,1389,212,510,224,5.2402,296400,"NEAR BAY",7.23633934275434,5.35658627467201,6.23441072571837,5.41164605185504,"[2.6,3.1)","area_0"
-122.22,37.8,52,2183,465,1129,460,3.2632,227700,"NEAR BAY",7.68845535654994,6.14203740558736,7.02908756414966,6.13122648948314,"[2.1,2.6)","area_0"
-122.22,37.8,52,2286,464,1073,441,3.0298,199600,"NEAR BAY",7.73455884435476,6.13988455222626,6.9782137426307,6.08904487544685,"[1.6,2.1)","area_0"
-122.22,37.81,52,2024,339,756,340,4.072,270100,"NEAR BAY",7.61283103040736,5.82600010738045,6.62804137617953,5.82894561761021,"[2.6,3.1)","area_0"
-122.22,37.81,52,2944,536,1034,521,5.3509,302100,"NEAR BAY",7.98752447984877,6.2841341610708,6.94119005506837,6.25575004175337,"[2.6,3.1)","area_0"
-122.23,37.8,52,2033,486,787,459,3.1603,269500,"NEAR BAY",7.61726781362835,6.18620862390049,6.6682282484174,6.12905021006055,"[2.6,3.1)","area_0"
-122.23,37.81,52,1433,229,612,213,4.7708,314700,"NEAR BAY",7.26752542782817,5.43372200355424,6.41673228251233,5.36129216570943,"[3.1,3.6)","area_0"
-122.22,37.81,52,2927,402,1021,380,8.1564,390100,"NEAR BAY",7.98173328669189,5.99645208861902,6.92853781816467,5.94017125272043,"[3.6,4.1)","area_0"
-122.23,37.81,52,2315,292,861,258,8.8793,410300,"NEAR BAY",7.74716496652033,5.67675380226828,6.75809450442773,5.55295958492162,"[4.1,4.6)","area_0"
-122.24,37.81,52,2485,313,953,327,6.8591,352400,"NEAR BAY",7.81802793853073,5.74620319054015,6.8596149036542,5.78996017089725,"[3.1,3.6)","area_0"
-122.23,37.81,52,2814,365,878,352,7.508,348700,"NEAR BAY",7.94236223767433,5.89989735358249,6.77764659363512,5.8636311755981,"[3.1,3.6)","area_0"
-122.24,37.81,52,2093,550,918,483,2.7477,243800,"NEAR BAY",7.646353722446,6.30991827822652,6.82219739062049,6.18001665365257,"[2.1,2.6)","area_0"
-122.24,37.8,52,888,168,360,175,2.1944,211500,"NEAR BAY",6.78897174299217,5.12396397940326,5.88610403145016,5.16478597392351,"[2.1,2.6)","area_0"
-122.24,37.81,52,2513,502,1048,518,3.675,269900,"NEAR BAY",7.82923253754359,6.21860011969173,6.95463886488099,6.24997524225948,"[2.6,3.1)","area_0"
-122.25,37.81,46,3232,835,1373,747,3.225,218800,"NEAR BAY",8.08085641964099,6.72743172485086,7.22475340576797,6.61606518513282,"[2.1,2.6)","area_0"
-122.25,37.8,42,4120,1065,1715,1015,2.9345,225000,"NEAR BAY",8.32360844234357,6.97073007814353,7.44716835960004,6.92264389147589,"[2.1,2.6)","area_0"
-122.25,37.8,43,2364,792,1359,722,2.1429,250000,"NEAR BAY",7.76811037852599,6.67456139181443,7.21450441415114,6.58202513889283,"[2.1,2.6)","area_0"
-122.25,37.8,41,1471,469,1062,413,1.6121,171400,"NEAR BAY",7.29369772060144,6.15060276844628,6.96790920180188,6.02344759296103,"[1.6,2.1)","area_0"
-122.25,37.8,29,2468,864,1335,773,1.3929,193800,"NEAR BAY",7.81116338502528,6.76157276880406,7.19668657083435,6.65027904858742,"[1.6,2.1)","area_0"
-122.25,37.79,50,629,188,742,196,2.6458,125000,"NEAR BAY",6.44413125670044,5.23644196282995,6.60934924316738,5.27811465923052,"[1.1,1.6)","area_0"
-122.25,37.79,52,1339,391,1086,363,2.181,138800,"NEAR BAY",7.19967834569117,5.96870755998537,6.99025650049388,5.89440283426485,"[1.1,1.6)","area_0"
-122.25,37.8,36,1678,606,1645,543,2.2303,116700,"NEAR BAY",7.42535788702715,6.40687998606931,7.40549566319947,6.29710931993394,"[1.1,1.6)","area_0"
-122.24,37.8,52,996,228,731,228,2.2697,127000,"NEAR BAY",6.9037472575846,5.42934562895444,6.59441345974978,5.42934562895444,"[1.1,1.6)","area_0"
-122.24,37.8,52,1591,373,1118,347,2.1563,128600,"NEAR BAY",7.37211802833779,5.92157841964382,7.01929665371504,5.84932477994686,"[1.1,1.6)","area_0"
-122.24,37.8,52,1586,398,1006,335,2.1348,140600,"NEAR BAY",7.36897040219479,5.98645200528444,6.91373735065968,5.81413053182507,"[1.1,1.6)","area_0"
-122.24,37.8,47,2046,588,1213,554,2.6292,182700,"NEAR BAY",7.62364194651157,6.37672694789863,7.10085190894405,6.31716468674728,"[1.6,2.1)","area_0"
-122.23,37.8,52,1192,289,772,257,2.3833,146900,"NEAR BAY",7.0833878476253,5.66642668811243,6.64898455002478,5.54907608489522,"[1.1,1.6)","area_0"
-122.24,37.8,52,1803,420,1321,401,2.957,122800,"NEAR BAY",7.49720722320332,6.04025471127741,7.18614430452233,5.99396142730657,"[1.1,1.6)","area_0"
-122.24,37.8,49,2838,749,1487,677,2.5238,169300,"NEAR BAY",7.95085485771999,6.61873898351722,7.30451594646016,6.51767127291227,"[1.6,2.1)","area_0"
-122.23,37.8,51,1590,414,949,392,1.9028,127900,"NEAR BAY",7.37148929521428,6.02586597382531,6.85540879860993,5.97126183979046,"[1.1,1.6)","area_0"
-122.23,37.8,50,1746,480,1149,415,2.25,123500,"NEAR BAY",7.46508273639955,6.17378610390194,7.04664727784876,6.0282785202307,"[1.1,1.6)","area_0"
-122.23,37.8,52,1252,299,844,280,2.3929,111900,"NEAR BAY",7.13249755166004,5.70044357339069,6.73815249459596,5.63478960316925,"[1.1,1.6)","area_0"
-122.23,37.79,43,5963,1344,4367,1231,2.1917,112800,"NEAR BAY",8.69332898912311,7.20340552108309,8.38183155348556,7.11558212618445,"[1.1,1.6)","area_0"
-122.23,37.79,30,999,264,1011,263,1.8854,137500,"NEAR BAY",6.90675477864855,5.57594910314632,6.91869521902047,5.57215403217776,"[1.1,1.6)","area_0"
-122.24,37.79,39,1469,431,1464,389,2.1638,105500,"NEAR BAY",7.29233717617388,6.06610809010375,7.28892769452126,5.96357934361845,"[1.1,1.6)","area_0"
-122.24,37.79,47,1372,395,1237,303,2.125,95500,"NEAR BAY",7.22402480828583,5.97888576490112,7.12044437239249,5.71373280550937,"[0.6,1.1)","area_0"
-122.24,37.79,52,674,180,647,168,3.375,116100,"NEAR BAY",6.51323011091231,5.19295685089021,6.4723462945009,5.12396397940326,"[1.1,1.6)","area_0"
-122.24,37.79,43,1626,376,1284,357,2.2542,112200,"NEAR BAY",7.39387829010776,5.92958914338989,7.15773548424991,5.87773578177964,"[1.1,1.6)","area_0"
-122.25,37.79,51,175,43,228,55,2.1,75000,"NEAR BAY",5.16478597392351,3.76120011569356,5.42934562895444,4.00733318523247,"[0.6,1.1)","area_0"
-122.25,37.79,39,461,129,381,123,1.6,112500,"NEAR BAY",6.13339804299665,4.85981240436167,5.9427993751267,4.81218435537242,"[1.1,1.6)","area_0"
-122.25,37.79,52,902,237,846,227,3.625,125000,"NEAR BAY",6.80461452006262,5.46806014113513,6.74051935960622,5.4249500174814,"[1.1,1.6)","area_0"
-122.26,37.8,20,2373,779,1659,676,1.6929,115000,"NEAR BAY",7.77191025643576,6.65801104587075,7.41397029019044,6.51619307604296,"[1.1,1.6)","area_0"
-122.22,37.77,52,391,128,520,138,1.6471,95000,"NEAR BAY",5.96870755998537,4.85203026391962,6.25382881157547,4.92725368515721,"[0.6,1.1)","area_0"
-122.22,37.77,52,1137,301,866,259,2.59,96400,"NEAR BAY",7.03614849375054,5.70711026474888,6.76388490856244,5.55682806169954,"[0.6,1.1)","area_0"
-122.23,37.77,52,769,206,612,183,2.57,72000,"NEAR BAY",6.64509096950564,5.32787616878958,6.41673228251233,5.20948615284142,"[0.6,1.1)","area_0"
-122.22,37.78,50,1920,530,1525,477,1.4886,128800,"NEAR BAY",7.56008046502183,6.27287700654617,7.32974968904151,6.16751649088834,"[1.1,1.6)","area_0"
-122.23,37.78,43,1420,472,1506,438,1.9338,112500,"NEAR BAY",7.25841215059531,6.15697898558556,7.31721240835984,6.08221891037645,"[1.1,1.6)","area_0"
-122.23,37.78,52,986,258,1008,255,1.4844,119400,"NEAR BAY",6.89365635460264,5.55295958492162,6.91572344863131,5.54126354515843,"[1.1,1.6)","area_0"
-122.23,37.78,44,2340,825,2813,751,1.6009,118100,"NEAR BAY",7.75790620835175,6.71538338633468,7.94200680848986,6.62140565176413,"[1.1,1.6)","area_0"
-122.23,37.79,48,1696,396,1481,343,2.0375,122500,"NEAR BAY",7.43602781635185,5.98141421125448,7.3004728142678,5.83773044716594,"[1.1,1.6)","area_0"
-122.22,37.79,37,2343,574,1608,523,2.1494,132500,"NEAR BAY",7.7591874385078,6.35262939631957,7.38274644973891,6.25958146406492,"[1.1,1.6)","area_0"
-122.23,37.79,30,610,145,425,140,1.6198,122700,"NEAR BAY",6.41345895716736,4.97673374242057,6.05208916892442,4.9416424226093,"[1.1,1.6)","area_0"
-122.23,37.79,40,930,199,564,184,1.3281,113300,"NEAR BAY",6.8351845861473,5.29330482472449,6.33505425149806,5.21493575760899,"[1.1,1.6)","area_0"
-122.22,37.79,44,1487,314,961,272,3.5156,109500,"NEAR BAY",7.30451594646016,5.74939298590825,6.86797440897029,5.605802066296,"[1.1,1.6)","area_0"
-122.22,37.79,52,3424,690,2273,685,3.9048,164700,"NEAR BAY",8.13856473726163,6.5366915975913,7.72885582385254,6.52941883826223,"[1.6,2.1)","area_0"
-122.21,37.79,52,762,190,600,195,3.0893,125000,"NEAR BAY",6.63594655568665,5.24702407216049,6.39692965521615,5.27299955856375,"[1.1,1.6)","area_0"
-122.22,37.79,46,2366,575,1647,527,2.6042,124700,"NEAR BAY",7.76895604453833,6.35437004079735,7.40671073017764,6.26720054854136,"[1.1,1.6)","area_0"
-122.22,37.79,49,1826,450,1201,424,2.5,136700,"NEAR BAY",7.50988306115491,6.10924758276437,7.09090982207998,6.04973345523196,"[1.1,1.6)","area_0"
